timestamp,ir_mean,red_mean,ir_std,red_std,heart_rate,spo2,valid,systolic_bp,diastolic_bp,notes
17090,90569.15,81684.04,502.56,195.75,72.27,98.20,1,115,74,resting
23218,91380.70,82156.48,518.56,189.18,83.56,99.49,1,115,74,resting
29345,90913.17,82117.84,498.41,181.50,96.37,99.71,1,115,74,resting
452161,110438.27,93049.68,233.38,107.52,84.37,96.43,1,110,84,resting
458288,110407.47,93026.28,193.65,129.81,98.02,89.26,1,110,84,resting
464413,110103.96,92980.16,167.72,120.60,101.39,92.36,1,110,84,resting
