timestamp,ir_mean,red_mean,ir_std,red_std,heart_rate,spo2,valid,systolic_bp,diastolic_bp,notes
170361,92891.00,97480.55,799.57,398.54,89.17,97.76,1,135,88,active
176489,94098.15,97794.45,562.28,295.12,89.17,96.65,1,135,88,active

