timestamp,ir_mean,red_mean,ir_std,red_std,heart_rate,spo2,valid,systolic_bp,diastolic_bp,notes
47758,101046.73,97936.66,265.23,135.66,86.89,95.58,1,125,80,active
72268,104028.38,98511.90,342.51,263.97,83.20,92.29,1,125,80,active
78405,103469.80,99429.59,229.17,173.02,83.90,90.90,1,125,80,active
84532,102895.34,99544.74,260.82,125.25,82.43,97.26,1,125,80,active
90659,102821.34,99752.66,263.91,118.97,87.07,95.87,1,125,80,active
96786,102534.51,99780.07,300.96,125.07,86.11,99.52,1,125,80,active
102914,102773.42,99818.23,293.91,125.30,89.21,98.36,1,125,80,active
109051,102357.27,99627.52,284.03,123.22,86.74,98.18,1,125,80,active
115178,102049.58,99383.77,304.99,163.04,87.62,96.01,1,125,80,active
121306,101827.80,99245.01,273.09,125.24,86.01,96.76,1,125,80,active
127433,101821.34,99226.93,307.08,152.73,87.32,96.69,1,125,80,active
133561,101427.57,98999.80,325.21,145.19,92.88,97.08,1,125,80,active
139698,101313.32,98902.00,350.54,168.60,90.86,97.52,1,125,80,active
145825,100994.26,98752.98,268.26,143.98,86.23,96.73,1,125,80,active
151953,101071.85,99033.20,299.91,131.77,90.76,96.83,1,125,80,active
158080,100909.05,99062.71,270.24,119.61,89.62,99.06,1,125,80,active
164209,100952.45,99150.38,294.28,149.27,95.85,96.83,1,125,80,active
170346,100852.23,99315.98,361.86,149.52,92.15,99.04,1,125,80,active
280677,97431.08,93452.05,466.17,200.21,88.47,99.34,1,126,77,active
286805,97871.71,93220.34,200.13,169.31,91.91,87.78,1,126,77,active
292943,97892.70,93332.23,205.82,199.41,86.57,81.12,1,126,77,active
299071,97974.05,93681.79,204.67,97.04,88.60,95.76,1,126,77,active
305199,98019.42,93294.64,219.92,167.88,88.81,91.47,1,126,77,active
311327,97824.40,93008.65,212.80,91.35,91.28,99.06,1,126,77,active
354244,99353.60,93991.37,365.92,124.26,91.34,98.87,1,126,77,active
366500,99604.49,94278.23,217.94,113.61,83.68,97.20,1,126,77,active
372627,99246.41,94384.75,230.97,99.86,89.09,97.51,1,126,77,active
409407,99903.30,95636.89,380.50,179.80,92.12,97.75,1,126,77,active
421673,99528.95,95618.99,402.64,164.28,85.83,98.39,1,126,77,active
427800,99050.48,95520.49,492.40,226.76,94.11,98.11,1,126,77,active
433928,99048.41,95482.88,367.52,154.26,88.82,98.59,1,126,77,active
440056,98922.36,95382.67,332.33,146.26,89.00,98.75,1,126,77,active
